date,Dog Food,Puppies for Sale,Pet shop
2024-11-07,21,0,0
2024-11-08,19,9,0
2024-11-09,16,10,0
2024-11-10,16,11,10
2024-11-11,21,12,0
2024-11-12,21,10,0
2024-11-13,25,16,0
2024-11-14,24,18,0
2024-11-15,27,11,0
2024-11-16,17,17,0
2024-11-17,22,20,0
2024-11-18,27,10,0
2024-11-19,30,13,0
2024-11-20,28,14,0
2024-11-21,23,14,0
2024-11-22,19,15,0
2024-11-23,21,0,0
2024-11-24,29,0,0
2024-11-25,27,12,0
2024-11-26,21,16,0
2024-11-27,21,10,0
2024-11-28,31,11,0
2024-11-29,33,11,0
2024-11-30,31,12,0
2024-12-01,25,0,0
2024-12-02,17,13,0
2024-12-03,23,14,0
2024-12-04,18,13,10
2024-12-05,16,11,0
2024-12-06,31,12,0
2024-12-07,22,14,0
2024-12-08,15,15,0
2024-12-09,31,16,0
2024-12-10,19,0,0
2024-12-11,28,13,0
2024-12-12,23,0,0
2024-12-13,21,13,0
2024-12-14,21,18,0
2024-12-15,19,14,0
2024-12-16,19,0,0
2024-12-17,26,0,10
2024-12-18,24,0,0
2024-12-19,26,13,0
2024-12-20,20,14,0
2024-12-21,20,12,0
2024-12-22,18,16,0
2024-12-23,24,13,0
2024-12-24,18,0,0
2024-12-25,0,0,0
2024-12-26,0,17,0
2024-12-27,30,13,0
2024-12-28,25,16,0
2024-12-29,21,14,0
2024-12-30,35,0,0
2024-12-31,25,17,0
2025-01-01,21,0,0
2025-01-02,27,21,0
2025-01-03,31,13,0
2025-01-04,24,14,0
2025-01-05,0,12,14
2025-01-06,32,15,11
2025-01-07,27,14,0
2025-01-08,21,11,0
2025-01-09,21,11,0
2025-01-10,28,14,0
2025-01-11,31,22,0
2025-01-12,67,30,0
2025-01-13,67,30,0
2025-01-14,43,22,0
2025-01-15,66,31,0
2025-01-16,57,0,0
2025-01-17,61,35,0
2025-01-18,67,25,0
2025-01-19,53,33,0
2025-01-20,60,34,0
2025-01-21,65,25,29
2025-01-22,63,32,0
2025-01-23,58,22,0
2025-01-24,80,33,0
2025-01-25,63,28,0
2025-01-26,71,41,0
2025-01-27,65,34,0
2025-01-28,35,0,0
2025-01-29,58,0,0
2025-01-30,46,31,0
2025-01-31,48,0,0
2025-02-01,73,37,0
2025-02-02,54,46,0
2025-02-03,59,0,0
2025-02-04,48,28,0
2025-02-05,31,30,0
2025-02-06,56,26,0
2025-02-07,26,26,0
2025-02-08,31,35,0
2025-02-09,53,33,0
2025-02-10,40,26,0
2025-02-11,55,0,0
2025-02-12,51,0,0
2025-02-13,53,45,0
2025-02-14,60,47,0
2025-02-15,56,41,0
2025-02-16,66,34,0
2025-02-17,56,25,0
2025-02-18,42,25,0
2025-02-19,56,23,0
2025-02-20,72,25,0
2025-02-21,52,29,0
2025-02-22,56,37,0
2025-02-23,37,29,0
2025-02-24,55,24,0
2025-02-25,50,22,0
2025-02-26,53,0,0
2025-02-27,50,33,0
2025-02-28,65,23,0
2025-03-01,41,29,0
2025-03-02,48,42,0
2025-03-03,53,31,0
2025-03-04,62,0,0
2025-03-05,41,22,0
2025-03-06,36,0,0
2025-03-07,49,31,0
2025-03-08,62,33,0
2025-03-09,73,34,0
2025-03-10,60,34,0
2025-03-11,36,36,0
2025-03-12,60,0,0
2025-03-13,64,36,0
2025-03-14,61,34,0
2025-03-15,28,44,0
2025-03-16,43,0,0
2025-03-17,59,32,0
2025-03-18,41,26,0
2025-03-19,41,0,0
2025-03-20,56,39,0
2025-03-21,55,27,0
2025-03-22,49,0,0
2025-03-23,44,38,0
2025-03-24,64,48,0
2025-03-25,57,21,0
2025-03-26,46,0,0
2025-03-27,71,0,0
2025-03-28,53,30,0
2025-03-29,66,38,0
2025-03-30,42,52,0
2025-03-31,54,28,0
2025-04-01,49,29,0
2025-04-02,74,0,0
2025-04-03,66,28,0
2025-04-04,69,31,0
2025-04-05,56,38,0
2025-04-06,57,37,0
2025-04-07,61,0,0
2025-04-08,61,25,0
2025-04-09,56,22,0
2025-04-10,44,25,0
2025-04-11,76,29,0
2025-04-12,66,39,0
2025-04-13,36,25,0
2025-04-14,81,24,0
2025-04-15,48,30,0
2025-04-16,50,28,0
2025-04-17,42,41,0
2025-04-18,55,0,0
2025-04-19,57,42,30
2025-04-20,47,43,0
2025-04-21,59,38,0
2025-04-22,73,21,0
2025-04-23,60,25,0
2025-04-24,59,34,0
2025-04-25,54,0,0
2025-04-26,66,63,0
2025-04-27,88,38,0
2025-04-28,54,39,0
2025-04-29,81,0,0
2025-04-30,66,39,0
2025-05-01,59,37,0
2025-05-02,50,26,0
2025-05-03,53,27,0
2025-05-04,41,26,0
2025-05-05,74,0,0
2025-05-06,40,35,0
2025-05-07,59,0,0
2025-05-08,49,43,0
2025-05-09,69,27,0
2025-05-10,60,29,0
2025-05-11,37,72,0
2025-05-12,80,30,0
2025-05-13,51,0,0
2025-05-14,56,0,0
2025-05-15,68,44,0
2025-05-16,45,36,0
2025-05-17,53,37,0
2025-05-18,41,41,0
2025-05-19,64,24,0
2025-05-20,56,0,0
2025-05-21,58,0,0
2025-05-22,70,0,0
2025-05-23,97,0,0
2025-05-24,61,33,0
2025-05-25,56,30,0
2025-05-26,61,0,0
2025-05-27,57,35,0
2025-05-28,100,0,0
2025-05-29,65,0,0
2025-05-30,64,31,0
2025-05-31,66,43,0
2025-06-01,66,39,0
2025-06-02,68,30,0
2025-06-03,53,23,23
2025-06-04,48,26,0
2025-06-05,66,26,0
2025-06-06,63,30,0
2025-06-07,42,40,0
2025-06-08,46,42,0
2025-06-09,58,42,0
2025-06-10,52,0,0
2025-06-11,51,0,0
2025-06-12,74,33,0
2025-06-13,57,0,0
2025-06-14,56,35,0
2025-06-15,38,48,0
2025-06-16,67,37,0
2025-06-17,70,28,0
2025-06-18,57,24,0
2025-06-19,69,46,0
2025-06-20,42,30,0
2025-06-21,62,37,0
2025-06-22,56,36,0
2025-06-23,69,25,0
2025-06-24,72,27,0
2025-06-25,50,34,0
2025-06-26,43,31,0
2025-06-27,84,30,0
2025-06-28,55,47,0
2025-06-29,69,0,0
2025-06-30,92,0,0
2025-07-01,73,24,21
2025-07-02,66,34,0
2025-07-03,70,28,0
2025-07-04,52,26,0
